,Player,Tm,Salary,Cap Hit,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,Pos_C,Pos_D,Pos_F,Pos_LW,Pos_RW,Pos_W,Tm_ANA,Tm_ARI,Tm_BOS,Tm_BUF,Tm_CAR,Tm_CBJ,Tm_CGY,Tm_CHI,Tm_COL,Tm_DAL,Tm_DET,Tm_EDM,Tm_FLA,Tm_LAK,Tm_MIN,Tm_MTL,Tm_NJD,Tm_NSH,Tm_NYI,Tm_NYR,Tm_OTT,Tm_PHI,Tm_PIT,Tm_SEA,Tm_SJS,Tm_STL,Tm_TBL,Tm_TOR,Tm_TOT,Tm_VAN,Tm_VEG,Tm_WPG,Tm_WSH
0,Mikko Rantanen,COL,"10,000,000","9,250,000",736.0,25.0,66.0,35.0,47.0,82.0,32.0,54.0,9.9,19.0,16.0,0.0,2.0,31.0,16.0,0.0,233.0,15.0,1383.0,38.0,50.0,136.0,163.0,45.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Jack Eichel,VEG,"10,000,000","10,000,000",239.0,25.0,23.0,9.0,8.0,17.0,2.0,8.0,1.9,6.0,3.0,0.0,2.0,4.0,4.0,0.0,89.0,10.1,438.0,28.0,28.0,121.0,114.0,51.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,Blake Wheeler,WPG,"10,000,000","8,250,000",951.0,35.0,56.0,12.0,42.0,54.0,-6.0,32.0,4.3,10.0,2.0,0.0,1.0,26.0,16.0,0.0,134.0,9.0,1113.0,32.0,56.0,3.0,13.0,18.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,Jeff Skinner,BUF,"10,000,000","9,000,000",831.0,29.0,68.0,28.0,22.0,50.0,-12.0,22.0,5.5,23.0,5.0,0.0,3.0,17.0,5.0,0.0,221.0,12.7,1171.0,17.0,22.0,74.0,105.0,41.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Vladimir Tarasenko,STL,"9,500,000","7,500,000",887.0,30.0,61.0,23.0,36.0,59.0,-3.0,26.0,5.9,18.0,5.0,0.0,5.0,22.0,13.0,1.0,191.0,12.0,1043.0,40.0,70.0,4.0,7.0,36.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Oliver Ekman-Larsson,VAN,"9,240,000","7,260,000",243.0,30.0,67.0,4.0,17.0,21.0,1.0,44.0,4.2,2.0,2.0,0.0,0.0,13.0,4.0,0.0,150.0,2.7,1500.0,65.0,86.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,Justin Faulk,STL,"9,000,000","6,500,000",261.0,29.0,62.0,9.0,25.0,34.0,30.0,41.0,7.1,8.0,1.0,0.0,3.0,20.0,5.0,0.0,132.0,6.8,1436.0,89.0,135.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Sidney Crosby,PIT,"9,000,000","8,700,000",177.0,34.0,58.0,26.0,46.0,72.0,14.0,24.0,8.1,18.0,8.0,0.0,7.0,26.0,20.0,0.0,173.0,15.0,1151.0,29.0,45.0,614.0,571.0,51.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Anders Lee,NYI,"9,000,000","7,000,000",518.0,31.0,62.0,25.0,16.0,41.0,-5.0,28.0,4.8,17.0,8.0,0.0,2.0,12.0,4.0,0.0,129.0,19.4,1031.0,21.0,74.0,63.0,66.0,48.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Kevin Hayes,PHI,"9,000,000","7,142,857",365.0,29.0,35.0,8.0,16.0,24.0,-10.0,16.0,1.9,6.0,2.0,0.0,1.0,14.0,1.0,1.0,78.0,10.3,600.0,10.0,28.0,188.0,247.0,43.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
